,name
0,Schalungstechnik
1,"Baugeräte, Bauequipment"
2,"Bedachung, Fassadenbau"
3,"Schächte, Roste"
4,"Warnschilder, Hinweisschilder, Unfallverhütungsschilder"
5,"Baustellenabsperrung, Straßenabsperrung, Verkehrszeichen"
6,"Baustellentüren, Schutztüren"
7,"Baustrahler, Arbeitsleuchten, Handleuchten"
8,Dämmmatten
9,Einrichtung für Baucontainer
10,Gitter
11,"Heizgeräte, Klimageräte"
12,"Schutzvliese, Schutzplanen"
13,"Sprengschutz, Sprengzubehör"
14,"Bau-Elektromaterial, Mobile Stromversorgung"
15,"Bauwerksabdichtung, Grundmauerschutz"
