,name
0,Vielzweckschläuche
1,"Wasserschläuche, Flachschläuche"
2,"Dampfschläuche, Heißwasserschläuche, Kühlerschläuche"
3,"Getränkeschläuche, Lebensmittelschläuche"
4,"Chemieschläuche, Ölschläuche"
5,Luftschläuche
6,Gasschläuche
7,Abriebfeste Schläuche
8,"Lüftungsschläuche, Abgasschläuche"
9,Schlauchkupplungen
10,"Verschraubungen, Flansche, Schlaucharmaturen"
11,Fittings
12,"Schlaucheinbindungen, Schlauchmontagematerial, Schlauchbefestigung"
13,"Kugelhähne, Absperrventile, Schlauchpistolen"
14,"Schlauchaufroller, Schlauchwagen"
15,"Schlauchbearbeitung, Schlauchkennzeichnung, Schlauchschutz"
16,Bewässerung
